Língua,Coleção,Título,Link
PT-BR,Temas Especiais,Tema escolhido pela Estaca,
PT-BR,Temas Especiais,Tema livre,
PT-BR,Temas Especiais,Testemunho,
PT-BR,Força dos Jovens,Fazer escolhas inspiradas,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/02-making-inspired-choices?lang=por
PT-BR,Força dos Jovens,Jesus Cristo vai ajudar você,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/03-jesus-christ-will-help-you?lang=por
PT-BR,Força dos Jovens,"Amar a Deus, amar ao próximo",https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/04-love-god-love-your-neighbor?lang=por
PT-BR,Força dos Jovens,Andar na luz de Deus,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/05-walk-in-gods-light?lang=por
PT-BR,Força dos Jovens,Seu corpo é sagrado,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/06-your-body-is-sacred?lang=por
PT-BR,Força dos Jovens,A verdade o libertará,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/07-the-truth-will-set-you-free?lang=por
PT-BR,Força dos Jovens,Encontrar alegria em Cristo,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/08-finding-joy-in-christ?lang=por
PT-BR,Força dos Jovens,E sobre…?,https://www.churchofjesuschrist.org/study/manual/for-the-strength-of-youth/09-what-about?lang=por
PT-BR,Princípios do Evangelho,Capítulo 1: Nosso Pai Celestial,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-1-our-father-in-heaven?lang=por
PT-BR,Princípios do Evangelho,Capítulo 2: Nossa Família Celestial,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-2-our-heavenly-family?lang=por
PT-BR,Princípios do Evangelho,"Capítulo 3: Jesus Cristo, Nosso Líder e Salvador Escolhido",https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-3-jesus-christ-our-chosen-leader-and-savior?lang=por
PT-BR,Princípios do Evangelho,Capítulo 4: Liberdade de Escolha,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-4-freedom-to-choose?lang=por
PT-BR,Princípios do Evangelho,Capítulo 5: A Criação,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-5-the-creation?lang=por
PT-BR,Princípios do Evangelho,Capítulo 6: A Queda de Adão e Eva,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-6-the-fall-of-adam-and-eve?lang=por
PT-BR,Princípios do Evangelho,Capítulo 7: O Espírito Santo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-7-the-holy-ghost?lang=por
PT-BR,Princípios do Evangelho,Capítulo 8: Orar ao Nosso Pai Celestial,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-8-praying-to-our-heavenly-father?lang=por
PT-BR,Princípios do Evangelho,Capítulo 9: Os Profetas de Deus,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-9-prophets-of-god?lang=por
PT-BR,Princípios do Evangelho,Capítulo 10: As Escrituras,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-10-scriptures?lang=por
PT-BR,Princípios do Evangelho,Capítulo 11: A Vida de Cristo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-11-the-life-of-christ?lang=por
PT-BR,Princípios do Evangelho,Capítulo 12: A Expiação,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-12-the-atonement?lang=por
PT-BR,Princípios do Evangelho,Capítulo 13: O Sacerdócio,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-13-the-priesthood?lang=por
